ID,Uppm,206Pb_204Pb,U/Th,206Pb_207Pb,2sig_%,207Pb_235U,2sig_%,206Pb_238U,2sig_%,error_corr.,206Pb_238U_abs,2sig_abs,207Pb_235U_abs,2sig_abs,206Pb_207Pb,2sig_abs,Best age,2sig_abs,Conc,Type
1MGSC-035 031,106,1500,0.53,24.402,33.4,0.0347,34,0.00614,6.7,0.198,39.5,2.7,34.6,11.6,290,855.6,39.5,2.7,13.6,Ign.
1MGSC-035 032,499,81097,0.95,21.728,7.5,0.0348,8.6,0.00549,4.3,0.499,35.3,1.5,34.8,3,2.2,180.5,35.3,1.5,1604.5,Ign.
1MGSC-035 033,90,1500,0.46,25.251,30,0.0311,30.7,0.00569,6.6,0.214,36.6,2.4,31.1,9.4,378,781.7,36.6,2.4,9.7,Ign.
1MGSC-035 034,67,33226,1.87,11.799,3.4,2.6688,6.3,0.22849,5.3,0.843,1326.6,63.4,1319.9,46.3,1309,65.5,1309,65.5,101.3,Ign.
1MGSC-035 035,616,91333,1.47,20.947,7.2,0.0336,7.8,0.00511,3.2,0.405,32.8,1,33.5,2.6,85.4,170,32.8,1,38.4,Ign.
1MGSC-035 036,57,33484,0.61,13.643,3.4,1.7196,6.8,0.17023,5.8,0.861,1013.4,54.5,1015.9,43.3,1021.3,69.4,1021.3,69.4,99.2,Ign.
1MGSC-035 037,83,1500,1.2,25.48,28.7,0.0301,29.4,0.00556,6.7,0.228,35.8,2.4,30.1,8.7,500,1,35.8,2.4,7.2,Ign.
1MGSC-035 038,99,1500,0.34,21.38,27.9,0.0373,28.8,0.00579,7.1,0.246,37.2,2.6,37.2,10.5,36.6,671.7,37.2,2.6,101.6,Ign.
1MGSC-035 039,163,1500,1.54,22.395,36.9,0.0341,37.2,0.00554,4.8,0.13,35.6,1.7,34.1,12.5,75.6,909.4,35.6,1.7,47.1,Ign.
1MGSC-035 040,147,55298,0.9,11.1,2.9,3.019,4.3,0.24315,3.2,0.74,1403.1,40.4,1412.4,33,1426.6,55.7,1426.6,55.7,98.4,Ign.
5MGSC-035 007,359,1500,3.13,18.283,30.9,0.0429,31.3,0.00569,4.9,0.158,36.6,1.8,42.6,13.1,398.8,695.9,36.6,1.8,9.2,Ign.
5MGSC-035 008,161,1500,0.59,21.757,31.9,0.0338,32.3,0.00533,5.1,0.158,34.3,1.7,33.7,10.7,5.4,773.9,34.3,1.7,635.2,Ign.
5MGSC-035 009,513,151286,0.52,9.803,16.1,0.0888,16.7,0.00631,4.7,0.281,40.6,1.9,86.4,13.9,1660.2,297.9,40.6,1.9,2.4,Ign.
5MGSC-035 010,320,11058,0.75,20.88,9.3,0.0333,10,0.00505,3.7,0.367,32.5,1.2,33.3,3.3,92.9,220.9,32.5,1.2,35,Ign.
5MGSC-035 011,99,1500,0.45,21.578,26.1,0.0333,27.1,0.00521,7.5,0.275,33.5,2.5,33.2,8.9,14.4,629.1,33.5,2.5,232.6,Ign.
5MGSC-035 012,50,1500,0.3,22.945,28.6,0.0335,30,0.00558,9.1,0.303,35.9,3.3,33.5,9.9,135.3,711.3,35.9,3.3,26.5,Ign.
5MGSC-035 013,120,1500,1.12,9.69,44.8,0.0847,45.1,0.00596,5,0.11,38.3,1.9,82.6,35.8,1681.6,838.3,38.3,1.9,2.3,Ign.
5MGSC-035 014,474,174824,5.86,9.708,2.1,4.2284,3.7,0.29787,3.1,0.826,1680.7,45.7,1679.6,30.7,1678.1,39,1678.1,39,100.2,Ign.
5MGSC-035 015,155,1500,0.99,20.244,32.1,0.0377,32.7,0.00554,6.1,0.185,35.6,2.2,37.6,12.1,165.7,754.8,35.6,2.2,21.5,Ign.
5MGSC-035 016,553,108049,1.72,18.988,9,0.0399,9.5,0.0055,3.3,0.343,35.3,1.2,39.7,3.7,313.4,204,35.3,1.2,11.3,Ign.
5MGSC-035 020,722,15414,1.66,20.648,6.5,0.0343,7.4,0.00514,3.5,0.476,33.1,1.2,34.3,2.5,119.3,153.1,33.1,1.2,27.7,Ign.
6MGSC-035 027,333,100073,1.95,11.405,1.9,2.9687,4.2,0.24567,3.7,0.889,1416.1,47.1,1399.7,31.7,1374.6,36.8,1374.6,36.8,103,Ign.
6MGSC-035 028,222,232094,3.67,9.116,2.6,4.7582,4.4,0.31475,3.5,0.802,1764,54.5,1777.6,37,1793.5,47.9,1793.5,47.9,98.4,Ign.
6MGSC-035 029,162,18404,1.19,19.605,16,0.0405,17,0.00577,5.7,0.338,37.1,2.1,40.4,6.7,240.1,369.5,37.1,2.1,15.5,Ign.
6MGSC-035 030,411,6501,7.06,21.141,12,0.0351,12.9,0.00539,4.7,0.367,34.7,1.6,35.1,4.5,63.5,286.5,34.7,1.6,54.6,Ign.
6MGSC-035 031,691,1500,1.12,14.172,21.4,0.0573,22,0.0059,5.2,0.236,37.9,2,56.6,12.1,943.8,438.7,37.9,2,4,Ign.
6MGSC-035 033,1191,6991,1.04,22.026,9.6,0.0343,10,0.00549,2.7,0.268,35.3,0.9,34.3,3.4,35.1,234.1,35.3,0.9,100.6,Ign.
6MGSC-035 034,254,1500,0.83,23.492,37.6,0.0309,37.8,0.00527,3.9,0.103,33.9,1.3,30.9,11.5,193.9,947.4,33.9,1.3,17.5,Ign.
6MGSC-035 035,289,7447,0.23,20.699,9.8,0.0398,11.1,0.00597,5.3,0.479,38.4,2,39.6,4.3,113.5,230.2,38.4,2,33.8,Ign.
6MGSC-035 036,177,15683,1.05,10.129,5.4,3.3853,6.4,0.24882,3.4,0.536,1432.4,44,1501,50.1,1599.3,100.7,1599.3,100.7,89.6,Ign.
6MGSC-035 037,110,1500,0.4,19.426,20.9,0.0399,21.9,0.00562,6.4,0.294,36.1,2.3,39.7,8.5,261.2,481.3,36.1,2.3,13.8,Ign.
6MGSC-035 038,344,205036,1.47,9.54,2.5,4.3306,3.6,0.29978,2.6,0.714,1690.2,38.4,1699.2,29.8,1710.3,46.5,1710.3,46.5,98.8,Ign.
6MGSC-035 039,88,1500,1.09,3.381,58.7,0.3576,59.6,0.00877,10.5,0.176,56.3,5.9,310.4,159.7,3447.7,934,56.3,5.9,1.6,Ign.
6MGSC-035 041,114,9515,0.48,12.758,37,0.0641,37.5,0.00593,6.3,0.169,38.1,2.4,63,22.9,1155.6,740,38.1,2.4,3.3,Ign.
6MGSC-035 043,655,12164,1.52,21.925,6.9,0.0344,7.8,0.00548,3.7,0.468,35.2,1.3,34.4,2.7,24,167.7,35.2,1.3,146.7,Ign.
6MGSC-035 044,129,84212,1.44,9.553,2.5,4.4368,3.9,0.30754,3,0.767,1728.6,45.1,1719.2,32.2,1707.9,45.9,1707.9,45.9,101.2,Ign.
6MGSC-035 045,159,89643,2.45,11.066,2.9,3.0602,4.8,0.24571,3.8,0.789,1416.3,48,1422.8,36.6,1432.5,56.1,1432.5,56.1,98.9,Ign.
6MGSC-035 046,373,1500,2.81,23.895,37,0.032,37.4,0.00555,5.1,0.138,35.7,1.8,32,11.8,236.6,941.1,35.7,1.8,15.1,Ign.
6MGSC-035 047,267,1500,0.31,19.006,23.2,0.0459,23.9,0.00633,5.7,0.238,40.7,2.3,45.5,10.7,311.2,530.3,40.7,2.3,13.1,Ign.
6MGSC-035 049,424,1500,0.24,26.739,40.7,0.0297,41.1,0.00577,5.3,0.13,37.1,2,29.8,12.1,529,1100.3,37.1,2,7,Ign.
6MGSC-035 050,149,1500,0.32,22.535,33.7,0.0323,34.2,0.00528,6,0.174,33.9,2,32.3,10.9,90.9,831.7,33.9,2,37.3,Ign.
6MGSC-035 051,2359,17765,1.27,21.142,3.5,0.0345,5.2,0.00528,3.8,0.735,34,1.3,34.4,1.7,63.3,83.6,34,1.3,53.7,Ign.
6MGSC-035 052,397,90251,3.53,9.424,2.4,4.4799,4.3,0.30633,3.6,0.833,1722.6,54.6,1727.3,35.9,1732.9,43.9,1732.9,43.9,99.4,Ign.
6MGSC-035 053,452,74614,4.24,9.165,4.2,4.5372,5.8,0.30174,4,0.69,1699.9,59.7,1737.8,48.2,1783.7,76.4,1783.7,76.4,95.3,Ign.
6MGSC-035 054,331,1500,1.45,5.111,90.3,0.1136,90.4,0.00421,4.5,0.05,27.1,1.2,109.3,93.7,2789.6,1574.3,27.1,1.2,1,Ign.
6MGSC-035 055,236,14738,1.31,19.887,12.9,0.0265,14,0.00382,5.3,0.38,24.6,1.3,26.5,3.7,207.1,300,24.6,1.3,11.9,Ign.
6MGSC-035 056,222,27508,3.65,11.192,3.4,2.5582,6.7,0.20774,5.8,0.863,1216.8,63.9,1288.8,48.7,1410.8,64.5,1410.8,64.5,86.2,Ign.
6MGSC-035 057,340,1500,0.9,4.32,20.9,0.2378,21.3,0.00745,4.4,0.204,47.9,2.1,216.6,41.7,3061.7,335.2,47.9,2.1,1.6,Ign.
6MGSC-035 058,310,144107,5.13,9.347,2.6,4.1362,5.2,0.28052,4.5,0.863,1594,62.9,1661.5,42.2,1747.8,47.8,1747.8,47.8,91.2,Ign.
6MGSC-035 059,9332,133186,12.06,21.185,3.6,0.029,5.3,0.00446,3.9,0.738,28.7,1.1,29.1,1.5,58.5,85.6,28.7,1.1,49.1,Ign.
6MGSC-035 061,232,65583,0.34,22.562,9.2,0.0342,12.2,0.00559,7.9,0.65,35.9,2.8,34.1,4.1,93.8,226.8,35.9,2.8,38.3,Ign.
6MGSC-035 062,49,1500,1.07,17.817,21.9,0.0426,23.9,0.0055,9.7,0.405,35.4,3.4,42.3,9.9,456.3,486.6,35.4,3.4,7.8,Ign.
